name,interval,jct
jaca,20,
jaca,25,
jaca,30,
jaca,40,
jaca,45,50
jaca,
jaca,
jaca,
jaca,
fifo-consolidate,
fifo-consolidate,
fifo-consolidate,
fifo-consolidate,
fifo-consolidate,
fifo-consolidate,
fifo-consolidate,
fifo-consolidate,
fifo-consolidate,
gputime-shortest-consolidate,
gputime-shortest-consolidate,
gputime-shortest-consolidate,
gputime-shortest-consolidate,
gputime-shortest-consolidate,
gputime-shortest-consolidate,
gputime-shortest-consolidate,
gputime-shortest-consolidate,
gputime-shortest-consolidate,
smallest-consolidate,
smallest-consolidate,
smallest-consolidate,
smallest-consolidate,
smallest-consolidate,
smallest-consolidate,
smallest-consolidate,
smallest-consolidate,
smallest-consolidate,
time-shortest-consolidate,
time-shortest-consolidate,
time-shortest-consolidate,
time-shortest-consolidate,
time-shortest-consolidate,
time-shortest-consolidate,
time-shortest-consolidate,
time-shortest-consolidate,
time-shortest-consolidate,
