DEBUG:root:Time[2059.88751 ms]: Job[ 0], ARRIVE, resnet50-1
DEBUG:root:Time[2059.88751 ms]: Job[ 0], ARRIVE, mobilenet-8
DEBUG:root:Time[2059.88751 ms]: Job[ 0], START, G0-G1-G8-G9-G16-G17-G24-G25
DEBUG:root:Time[4064.93316 ms]: Job[ 1], ARRIVE, gpt-2
DEBUG:root:Time[4064.93316 ms]: Job[ 1], ARRIVE, gpt-8
DEBUG:root:Time[28938.22640 ms]: Job[ 2], ARRIVE, vgg16-1
DEBUG:root:Time[28938.22640 ms]: Job[ 2], ARRIVE, mobilenet-8
DEBUG:root:Time[29529.03629 ms]: Job[ 3], ARRIVE, resnet50-2
DEBUG:root:Time[29529.03629 ms]: Job[ 3], ARRIVE, mobilenet-8
DEBUG:root:Time[33648.05732 ms]: Job[ 4], ARRIVE, gpt-4
DEBUG:root:Time[33648.05732 ms]: Job[ 4], ARRIVE, mobilenet-8
DEBUG:root:Time[34231.71270 ms]: Job[ 5], ARRIVE, gpt-4
DEBUG:root:Time[34231.71270 ms]: Job[ 5], ARRIVE, gpt-4
DEBUG:root:Time[39781.13883 ms]: Job[ 6], ARRIVE, vgg16-1
DEBUG:root:Time[39781.13883 ms]: Job[ 6], ARRIVE, gpt-8
DEBUG:root:Time[39900.40450 ms]: Job[ 7], ARRIVE, vgg16-1
DEBUG:root:Time[39900.40450 ms]: Job[ 7], ARRIVE, gpt-8
DEBUG:root:Time[42451.98553 ms]: Job[ 8], ARRIVE, vgg16-1
DEBUG:root:Time[42451.98553 ms]: Job[ 8], ARRIVE, mobilenet-8
DEBUG:root:Time[43059.05795 ms]: Job[ 9], ARRIVE, vgg16-1
DEBUG:root:Time[43059.05795 ms]: Job[ 9], ARRIVE, mobilenet-8
DEBUG:root:Time[44288.26639 ms]: Job[10], ARRIVE, gpt-2
DEBUG:root:Time[44441.96404 ms]: Job[11], ARRIVE, resnet50-1
DEBUG:root:Time[45350.51431 ms]: Job[12], ARRIVE, gpt-4
DEBUG:root:Time[49095.25127 ms]: Job[13], ARRIVE, gpt-4
DEBUG:root:Time[54178.64290 ms]: Job[14], ARRIVE, vgg16-1
DEBUG:root:Time[57309.73278 ms]: Job[15], ARRIVE, resnet50-1
DEBUG:root:Time[60335.43688 ms]: Job[16], ARRIVE, vgg16-1
DEBUG:root:Time[60656.34752 ms]: Job[17], ARRIVE, vgg16-2
DEBUG:root:Time[62067.69560 ms]: Job[18], ARRIVE, gpt-2
DEBUG:root:Time[65690.82316 ms]: Job[19], ARRIVE, gpt-4
DEBUG:root:Time[67633.76644 ms]: Job[20], ARRIVE, gpt-4
DEBUG:root:Time[70306.49766 ms]: Job[21], ARRIVE, vgg16-2
DEBUG:root:Time[74361.24761 ms]: Job[22], ARRIVE, gpt-2
DEBUG:root:Time[77328.37685 ms]: Job[23], ARRIVE, resnet50-2
DEBUG:root:Time[77499.11858 ms]: Job[24], ARRIVE, mobilenet-4
DEBUG:root:Time[80249.32268 ms]: Job[25], ARRIVE, gpt-4
DEBUG:root:Time[85095.88025 ms]: Job[26], ARRIVE, gpt-2
DEBUG:root:Time[93156.17837 ms]: Job[27], ARRIVE, gpt-4
DEBUG:root:Time[93481.22352 ms]: Job[28], ARRIVE, gpt-4
DEBUG:root:Time[101241.63123 ms]: Job[29], ARRIVE, resnet50-1
